smiles,static_polarizability,fitness,static_polarizability_pred_original,vdw_volume,refractive_index,mw
C=CC(=O)OC1CCOC1=O,0.066811349521751,-0.0006845782505222,9.177434692403844,137.592460391905,1.305237475925637,156.13699999999997
C=CC(=O)OCC=CC,0.066811349521751,-0.0009264315472789,9.177434692403844,130.8267432582057,1.322543203516927,126.15499999999997
C=CC(=O)OC(C)(C(F)(F)F)C(F)(F)F,0.066811349521751,-0.0015031288372226,9.177434692403844,168.82634957093362,1.2448360935097595,236.11099999999993
C=CC(=O)OCC(O)CC,0.066811349521751,-0.0028257106436542,9.177434692403844,145.17540723003518,1.2879518922177382,144.16999999999996
C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,0.066811349521751,-0.0060199278401084,9.177434692403844,169.55472480752303,1.2437143915874558,236.11099999999996
C=CC(=O)OCC(C)C,0.0691038326963871,-0.000233930195859,9.350880150585404,136.08467485341447,1.315315907925196,128.17099999999996
C=CC(=O)OC(C#N)(C(F)(F)F)C(F)(F)F,0.0691038326963871,-0.0003175394281834,9.350880150585404,169.31140753791672,1.249015381629858,247.09399999999994
C=CC(=O)OCc1cn[nH]n1,0.0691038326963871,-0.0011051861897021,9.350880150585404,135.3993514119694,1.3170634032518145,153.141
C=CC(=O)OC(C)(C)C,0.0691038326963871,-0.0026234047159642,9.350880150585404,136.7279163522841,1.3136934328384524,128.17099999999996
C=CC(=O)OCCC=C,0.0691038326963871,-0.0047133819803684,9.350880150585404,129.5070991680437,1.3329422975936935,126.15499999999999
C=CC(=O)OCCCN=C=O,0.0713963158710233,-0.0001214318258993,9.524325608766974,147.25171950606824,1.2951942836587016,155.153
C=CC(=O)OCCCCO,0.0713963158710233,-0.0002649552838571,9.524325608766974,145.28299021875404,1.2995451004526035,144.17000000000002
C=CC(=O)OCCC(F)(F)C(F)(F)F,0.0713963158710233,-0.0021260954158075,9.524325608766974,164.0383771374144,1.262717541042251,218.12099999999995
C=CC(=O)On1cccn1,0.0736887990456595,-0.0007069124799742,9.697771066948546,122.94904506426492,1.3672300853640085,138.12599999999998
C=CC(=O)OC(F)(F)C(F)(F)C(C)(F)F,0.0736887990456595,-0.000893747903727,9.697771066948546,170.01029429874353,1.2577737966275586,236.11099999999996
C=CC(=O)OCCC(Cl)Cl,0.0736887990456595,-0.0009068236726746,9.697771066948546,150.37250842180015,1.294258057360388,183.034
C=CC(=O)OCC(Cl)CCl,0.0736887990456595,-0.0014616386074051,9.697771066948546,150.40945725951823,1.2941795730361498,183.03399999999996
C=CC(=O)OCCCOC,0.0759812822202957,-0.000745021329335,9.871216525130112,146.1582755475933,1.3094225576890228,144.17
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,0.0759812822202957,-0.0012258370975769,9.871216525130112,174.1047761783374,1.2561025883780608,254.10099999999994
C=CC(=O)OCC1COC(=O)O1,0.0759812822202957,-0.0022703105946265,9.871216525130112,147.09006813212596,1.3072837546276268,172.13599999999997
C=CC(=O)OC=CCC,0.0759812822202957,-0.0026638726134978,9.871216525130112,131.036419804725,1.348918477115614,126.15499999999997
C=CC(=O)OCCC(C)O,0.0759812822202957,-0.00322919286687,9.871216525130112,144.4673820345549,1.3133820335146575,144.17
C=CC(=O)OCCC(=O)NC,0.0759812822202957,-0.0039087826748572,9.871216525130112,153.3938854333554,1.2935667998855631,157.16899999999998
C=CC(=O)OCC(C)(C)C=O,0.0782737653949319,-0.0004277002313195,10.044661983311682,155.19558854519852,1.295402626416699,156.18099999999998
C=CC(=O)OCCCC=C,0.0782737653949319,-0.0012944709756433,10.044661983311682,147.3763667238732,1.3125205900773491,140.182
C=CC(=O)OC(F)(F)C(C)(CF)C(F)(F)F,0.0782737653949319,-0.001538351526016,10.044661983311682,185.32669215854784,1.2440653281873533,250.13799999999995
C=CC(=O)OCCC(C)C,0.0782737653949319,-0.0038511831066549,10.044661983311682,152.97956480549266,1.3000576574586475,142.19799999999998
C=CC(=O)OCCCCCO,0.0805662485695681,-4.551086505405477e-06,10.218107441493254,163.45982023879313,1.2844782367030734,158.197
C=CC(=O)OCCC=CC,0.0805662485695681,-0.0007080820464291,10.218107441493254,147.41862640395937,1.3183311249282563,140.182
C=CC(=O)OCC(Br)CBr,0.0805662485695681,-0.0016307297087511,10.218107441493254,160.8543562840106,1.2894713645421547,271.936
