,y,pred
886,0.3647454,0.36632586
887,0.36479622,0.35811543
888,0.3648518,0.3823005
889,0.36504504,0.38186717
890,0.36512417,0.38254607
891,0.36518303,0.38882503
892,0.3653725,0.39493883
893,0.36542824,0.34698772
894,0.365516,0.3789796
895,0.36570778,0.38082004
896,0.36598784,0.36664197
897,0.36603698,0.34193745
898,0.3660642,0.32439217
899,0.3660992,0.36187324
900,0.3661818,0.3884111
901,0.36620173,0.40760604
902,0.36629337,0.38041407
903,0.36638018,0.32842046
904,0.3665296,0.35150892
905,0.36674345,0.38731143
906,0.366797,0.3876648
907,0.36684346,0.35663807
908,0.3669745,0.40813446
909,0.36710158,0.36580443
910,0.36714375,0.385427
911,0.36716196,0.39550135
912,0.3673395,0.36583328
913,0.36744922,0.39188045
914,0.3675251,0.37218738
915,0.36755013,0.37484628
916,0.36793935,0.3898256
917,0.36800587,0.3717364
918,0.36802095,0.37383205
919,0.3680627,0.38056508
920,0.3682079,0.34734324
921,0.3685903,0.37075076
922,0.36869088,0.3422566
923,0.36895654,0.38365555
924,0.36897883,0.35259306
925,0.3689894,0.37397093
926,0.3693686,0.38522992
927,0.36940733,0.3724563
928,0.36997384,0.37689143
929,0.3700091,0.40017346
930,0.37007102,0.35518232
931,0.3702063,0.3559243
932,0.37075672,0.3773036
933,0.37094733,0.38563848
934,0.37112287,0.36279565
935,0.3712131,0.3421437
936,0.37135905,0.38566393
937,0.3714549,0.38706532
938,0.37145868,0.38715154
939,0.3715794,0.37349403
940,0.37159488,0.4056229
941,0.37160975,0.4074767
942,0.37161073,0.38956365
943,0.3716142,0.39739645
944,0.37166762,0.38530037
945,0.37169546,0.4056669
946,0.37219197,0.37755442
947,0.37226495,0.36764678
948,0.37228408,0.366643
949,0.37268442,0.3650065
950,0.3727313,0.49013478
951,0.3729676,0.34589553
952,0.3729684,0.39678502
953,0.37300247,0.37400764
954,0.37319165,0.37322703
955,0.37349,0.33201927
956,0.37349114,0.36723298
957,0.37352893,0.35108852
958,0.3735599,0.36915958
959,0.37358707,0.3785947
960,0.37385887,0.40922025
961,0.37422028,0.40157086
962,0.37445065,0.3480786
963,0.37451968,0.40000027
964,0.37454376,0.4018694
965,0.37463441,0.37554514
966,0.37519076,0.39189315
967,0.37519214,0.36432087
968,0.37540036,0.3603485
969,0.3755509,0.38247785
970,0.37563238,0.41331115
971,0.3764426,0.3751542
972,0.37649515,0.33827686
973,0.37657,0.4000453
974,0.37670773,0.3754901
975,0.376771,0.38445175
976,0.37679565,0.3802967
977,0.37680277,0.38590586
978,0.37691665,0.409397
979,0.37704286,0.36678204
980,0.37713924,0.37932903
981,0.37721968,0.3913852
982,0.37722185,0.4205235
983,0.37738374,0.39815027
984,0.3775129,0.37291408
985,0.37778836,0.38388035
986,0.3782156,0.38278055
987,0.37834844,0.39545846
988,0.3786444,0.37342995
989,0.37870634,0.3959654
990,0.378878,0.40877262
991,0.37903363,0.37000287
992,0.3790359,0.41656503
993,0.37913263,0.3967909
994,0.37917733,0.39359772
995,0.37921813,0.46925455
996,0.3800521,0.3770119
997,0.38009933,0.38205525
